novel_id,author_id
46892,1910
40943,12
46691,2798
22331,13
3297,741
3301,741
20591,1423
28080,1424
30039,1
38665,2
46869,3
51861,7842
14815,4
4289,5
31056,6
45349,837
25257,7
46964,8331
39654,5741
19660,5741
49578,8
40229,5487
7570,2016
38039,9
36662,10
36335,5654
5196,5654
6067,6907
8014,6907
11480,6907
27080,6907
40689,11
14464,3422
19975,3402
17027,3402
31838,6139
22733,5465
23328,1964
24304,1964
36320,15
30149,1972
34694,16
14887,3855
14791,6441
38449,4529
31797,6812
19048,1969
27687,1985
12806,6802
40208,5496
42501,2169
35616,1922
22568,1922
28605,1922
32265,1922
39055,1922
18292,1922
43514,1922
26843,6814
39124,6806
48588,6806
37217,17
47644,1975
35909,3177
16417,18
16418,18
9171,4358
38051,19
30531,1988
10672,1988
22343,20
19465,1987
16921,21
18426,21
47539,1446
43442,7891
37111,7891
44750,7854
22712,22
42525,1443
10316,4653
679,23
13558,3414
17229,3414
1505,24
23301,6812
26073,6812
44356,5579
7154,25
29464,2680
32448,4359
10336,26
22041,7864
45193,3568
28192,7008
36957,7008
42200,3513
46950,3513
38948,6805
15485,6816
24191,5245
20991,6030
40794,6034
900,3973
1321,27
1778,27
30769,1425
34337,7857
4630,6309
36965,6308
29217,5513
1609,540
48393,28
23753,29
16286,6310
15129,30
284,30
2738,30
3503,5517
25244,5517
47710,2521
13026,31
20891,6300
47211,6302
44141,5516
12223,3971
12225,3971
35950,3050
13101,3972
16291,6619
41910,6619
24993,6306
24738,1431
42952,5833
42960,5833
2951,32
47823,6509
1256,33
47861,6524
48421,6524
45877,6524
43789,6524
51918,6524
31726,6514
37539,6513
2083,6513
987,34
18208,6512
41837,1426
294,35
24727,36
1439,37
5091,37
31105,6123
36498,6123
36167,6123
48242,6122
51351,3719
37959,5175
4719,38
518,38
22610,38
22610,6518
16727,4237
2554,39
7009,40
1916,4319
20168,4317
20168,5942
18080,4317
593,4317
6963,4317
5105,4317
8059,4317
27921,4317
709,41
3808,1576
3808,4499
6268,1576
6268,4499
16933,1576
16933,4499
10140,1576
10140,4499
14475,1576
14475,4499
30111,1576
30111,4499
24623,1576
24623,4499
5253,4318
27896,969
8389,4316
19428,4320
824,42
44987,4342
12760,4498
439,5633
44303,5651
28766,43
16578,44
11632,5650
742,45
1598,45
1664,45
1985,45
2025,45
2062,45
2062,113
2062,446
2062,667
2062,769
2062,1010
2062,5851
51839,1593
26794,1717
1538,46
47248,47
1480,48
31142,5639
35336,5639
27015,4684
27015,5647
22001,4684
22001,5647
8511,4684
8511,5647
8512,4684
8512,5647
8605,5646
5198,5646
4124,5646
17378,5646
13684,49
3248,50
3251,50
42414,50
36600,51
19723,52
51303,7870
11114,6721
22637,3093
20053,6655
19390,3387
47777,53
21532,54
12758,7874
27039,1440
26538,55
4471,55
45325,56
45713,5230
28542,7853
37018,7869
49605,1445
4259,57
700,57
700,1729
21574,57
21574,1729
25536,57
25536,1730
22254,6843
27641,2399
28204,7871
23009,7871
28196,1726
29323,1726
29323,6629
39016,1728
32238,1728
14579,1728
48178,1728
10356,58
19783,6877
1603,59
1584,59
22641,5386
49323,60
14767,3335
34308,6866
5285,3352
36488,3352
3207,61
49067,6864
51358,6864
46924,6870
4779,1724
4779,3362
5081,3367
52029,3334
1534,597
12100,62
8292,62
8292,3037
1231,1394
10023,3325
20656,3325
23509,3325
25199,3325
41398,3325
19248,3364
32830,3314
23052,1725
20135,1725
26785,1436
32270,5387
41043,3326
2967,63
4821,1435
6077,1435
5750,1435
17674,1435
22904,1435
23968,1435
552,64
13238,65
37213,5368
2948,66
1196,67
28512,6867
42683,6867
50832,6867
18204,2327
45233,6863
45745,6863
46713,7099
36455,1437
39171,5862
11422,5862
29797,6575
34270,3522
27232,3517
23482,3526
14406,3512
39759,7173
22941,7729
18770,3520
11390,3514
31762,7867
40236,3515
39943,3523
39949,3516
23427,3508
22153,3508
21477,3511
42434,4329
25844,3507
25121,3521
7959,3521
21691,7865
8133,68
47069,1721
47069,1919
6644,1721
5300,1721
1243,1721
973,1721
10604,1721
2946,69
13297,3518
9692,2895
9070,2895
29799,2895
32299,2895
1578,70
33462,3524
39642,71
31328,71
249,71
2355,71
7539,71
5387,71
7849,71
7849,1723
17282,71
17282,1723
20197,71
20197,1723
39270,71
39270,1723
43198,7865
34988,72
18825,73
14245,73
13644,73
13740,73
4641,73
4183,73
13426,74
13132,3979
8591,3979
37495,3934
