novel_id,genre_id
5,0
5,2
5,6
5,12
5,20
5,32
10,0
10,2
10,4
10,8
10,12
10,13
10,32
14,0
14,2
14,5
14,6
14,8
14,12
14,13
14,32
15,0
15,2
15,4
15,31
16,0
16,2
16,6
16,8
16,12
16,32
19,0
19,2
19,3
19,6
19,8
19,13
19,19
30,0
30,2
30,6
30,12
30,29
30,31
31,0
31,2
31,4
31,6
31,8
31,12
31,13
31,18
31,32
32,0
32,2
32,3
32,4
32,6
32,8
32,23
32,28
33,0
33,2
33,4
33,6
33,17
33,23
34,0
34,2
34,3
34,4
34,6
34,8
34,17
34,20
35,0
35,2
35,6
35,12
35,19
35,23
35,32
36,0
36,3
36,8
36,12
36,28
38,0
38,2
38,6
38,12
38,20
38,31
42,0
42,4
42,6
42,8
42,14
42,18
42,19
130,0
130,2
130,6
130,12
130,13
130,14
130,15
130,17
130,18
130,19
133,0
133,2
133,6
133,8
133,12
133,13
133,32
136,0
136,2
136,4
136,6
136,12
136,32
138,0
138,3
138,4
138,18
138,19
140,17
140,18
140,23
142,0
142,3
142,6
142,17
142,21
144,0
144,2
144,6
144,23
146,0
146,3
146,6
146,7
148,2
148,3
148,5
148,6
148,21
149,0
149,2
149,3
149,6
149,22
149,28
155,0
155,2
155,3
155,6
155,7
155,12
155,17
155,19
157,0
157,2
157,3
157,6
157,15
157,23
159,0
159,2
159,3
159,6
159,11
161,3
161,28
164,0
164,2
164,6
164,17
164,21
164,28
165,0
165,2
165,3
165,4
165,7
165,11
165,19
165,28
167,2
167,3
167,7
167,19
167,21
167,25
169,3
169,6
169,8
169,18
169,25
169,28
171,0
171,2
171,3
171,5
171,6
171,8
171,17
171,23
173,0
173,2
173,3
173,6
173,8
173,20
175,0
175,2
175,3
175,6
175,8
175,17
175,20
176,4
176,6
176,16
176,29
177,0
177,2
177,5
177,6
177,12
177,13
177,18
177,19
179,0
179,2
179,8
179,12
179,13
179,32
180,0
180,2
180,8
180,12
180,15
180,31
181,0
181,2
181,8
181,13
181,20
181,29
181,31
183,0
183,2
183,6
183,8
183,12
183,20
183,29
183,32
186,0
186,2
186,3
186,6
186,12
186,19
186,23
189,2
189,3
189,6
189,17
189,21
189,28
189,29
189,31
195,0
195,2
195,4
195,6
195,12
195,23
195,31
242,0
242,2
242,3
242,4
242,6
242,8
242,17
242,23
244,0
244,2
244,6
244,10
244,13
244,15
244,16
244,19
244,28
246,0
246,2
246,3
246,6
246,12
246,23
249,0
249,2
249,3
249,4
249,6
249,8
249,17
249,20
259,0
259,2
259,3
259,5
259,6
259,7
259,8
259,12
259,18
261,0
261,3
261,6
261,17
262,0
262,2
262,4
262,6
262,8
262,17
262,23
263,0
263,2
263,6
263,17
263,34
264,2
264,3
264,6
264,7
264,8
264,13
264,22
267,0
267,3
267,4
267,6
267,8
267,18
267,28
271,3
271,4
271,8
271,17
271,18
271,23
274,0
274,2
274,4
274,6
274,15
274,17
274,20
274,25
277,0
277,1
277,2
277,6
277,8
277,20
278,0
278,2
278,3
278,6
278,8
278,13
278,16
278,17
278,23
278,29
279,0
279,1
279,2
279,6
279,8
279,20
279,28
281,0
281,6
281,12
281,17
281,23
281,25
283,19
284,0
284,2
284,3
284,6
284,8
284,23
284,25
287,0
287,3
287,8
287,12
287,13
287,18
287,20
287,31
288,0
288,2
288,3
288,4
288,5
288,6
288,8
288,15
288,17
288,23
288,28
290,0
290,2
290,3
290,6
290,8
290,14
290,17
290,19
290,23
290,25
290,28
292,0
292,2
292,5
292,6
292,8
292,13
292,20
292,25
294,0
294,2
294,3
294,4
294,6
294,8
294,17
294,20
299,0
299,2
299,3
299,6
299,8
299,17
299,18
299,19
299,20
299,29
338,3
338,11
338,17
340,4
340,11
340,17
340,28
340,29
342,3
342,4
342,11
342,17
342,25
344,4
344,11
344,17
344,25
346,4
346,11
346,15
346,17
346,28
349,0
349,2
349,4
349,6
349,8
349,20
350,0
350,3
350,4
350,6
350,8
350,25
354,2
354,6
362,0
362,2
362,3
362,12
362,17
362,29
364,0
364,2
364,4
364,23
364,32
367,0
367,2
367,3
367,4
367,6
367,8
370,0
370,6
370,10
370,13
370,15
370,17
370,19
370,20
370,28
370,29
373,0
373,2
373,6
373,8
373,12
373,13
373,16
373,23
373,28
373,29
376,0
376,2
376,6
376,12
376,17
376,23
376,32
379,0
379,3
379,4
379,13
379,16
379,20
382,0
382,6
382,12
382,17
382,21
384,0
384,3
384,6
384,19
386,0
386,2
386,3
386,5
386,6
386,8
386,12
386,13
386,20
386,32
392,0
392,2
392,3
392,6
392,12
392,19
392,23
394,0
394,2
394,3
394,6
394,8
394,12
394,13
394,17
394,20
396,0
396,2
396,6
396,8
396,12
396,32
399,0
399,2
399,4
399,6
399,8
399,13
399,20
399,32
404,0
404,2
404,4
404,6
404,12
404,30
406,0
406,2
406,3
406,6
406,7
406,23
410,0
410,2
410,6
410,12
410,23
410,28
418,0
418,2
418,3
418,4
418,6
418,15
418,19
418,20
421,2
421,3
421,5
421,6
421,7
421,22
424,0
424,2
424,3
424,5
424,6
424,8
424,15
424,20
424,29
426,1
426,2
426,8
426,20
426,28
427,6
428,0
428,2
428,4
428,6
428,8
428,12
428,13
428,19
428,32
429,1
429,2
429,3
429,6
429,8
429,17
429,20
431,0
431,2
431,3
431,5
431,6
431,8
431,13
431,15
431,19
434,2
434,4
434,15
434,18
434,23
437,3
437,4
437,6
437,8
437,17
437,21
437,25
439,2
439,4
439,6
439,14
439,17
439,19
439,23
439,25
443,0
443,2
443,6
443,8
443,12
443,32
447,0
447,2
447,3
447,6
447,8
447,20
447,28
449,0
449,2
449,4
449,6
449,8
449,13
449,17
449,19
449,20
449,29
451,0
451,2
451,3
451,5
451,6
451,8
451,12
451,13
451,19
453,0
453,2
453,3
453,5
453,6
453,17
453,18
453,23
454,0
454,2
454,5
454,6
454,8
454,13
454,20
454,28
459,0
459,2
459,6
459,12
459,13
459,16
459,17
459,23
463,17
463,18
463,21
465,0
465,2
465,4
465,5
465,6
465,8
465,12
465,13
465,19
465,20
465,29
465,32
470,0
470,2
470,6
470,12
470,13
470,23
470,30
472,0
472,2
472,3
472,6
472,12
472,32
474,0
474,2
474,4
474,6
474,12
474,13
474,16
474,20
474,29
480,0
480,2
480,4
480,19
480,23
485,0
485,2
485,3
485,6
485,8
485,12
485,13
485,17
485,23
485,25
