id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
5,Coiling Dragon,chinese,4.5,1827,2000,817,3688,3389,12724,111,12389
10,Martial God Asura,chinese,3.3,2015,0.7,13,169,139,15177,57,219
14,Against the Gods,chinese,3.9,3508,3.1,4,228,1027,22481,12,788
15,I Shall Seal the Heavens,chinese,4.4,3081,608.5,9,4884,3230,19106,25,363
16,Battle Through the Heavens,chinese,3.8,1228,5.4,100,1180,4519,12041,126,106
19,Virtual World: The Legendary Thief,chinese,3.5,171,123.3,3566,2000,2000,2581,2462,7616
30,Inch of Radiance,chinese,3.8,102,142.3,5535,2000,2000,1350,4350,5550
31,Close Combat Mage,chinese,2.7,654,43.3,911,6213,2000,5179,977,6283
32,Konjiki no Moji Tsukai (WN),japanese,3.9,806,76.5,201,875,858,16751,41,322
33,Spirit Migration,japanese,4.1,205,129.7,1643,2000,3615,5174,979,706
34,Tsuyokute New Saga (WN),japanese,4.4,128,162.2,4314,2000,2000,3336,1823,2521
35,Swallowed Star,chinese,4.2,996,1365,37,6151,5639,12090,125,3819
36,Assassin Landlord & Beauty Tenants,chinese,3.8,106,147.6,4044,2000,2000,1921,3267,9534
38,Stellar Transformation,chinese,4.2,1209,138.7,1049,6214,5067,11899,131,172
42,"Magic, Mechanics, Shuraba",chinese,3.9,88,146.3,5495,2000,2000,2068,3071,2912
130,Skyfire Avenue,chinese,4,568,1.3,244,2000,2000,7177,532,1016
133,Mad God,chinese,3.8,188,147.3,3859,2000,2000,2907,2175,2951
136,Shen Yin Wang Zuo,chinese,4,733,303.7,253,2000,5639,9371,270,843
138,No Hero,chinese,3.9,97,45,4187,6187,6928,1472,4109,7727
140,B Group no Shounen,japanese,4.1,129,164.9,4334,2000,2000,2069,3064,12389
142,An Otome Game’s Burikko Villainess Turned into a Magic Otaku,japanese,4,387,162.1,1393,3948,5639,8512,349,1062
144,Yomigaeri no Maou,japanese,4.3,73,326.9,5300,2000,2000,2433,2613,12384
146,Tilea’s Worries,japanese,4,382,90,1288,2000,4705,6320,686,3012
148,The Bathroom Goddess,japanese,4.7,449,53.5,2426,2000,5639,4517,1200,2022
149,Evil God Average,japanese,4.3,713,97.1,1058,3632,4130,11545,146,871
155,Half Prince,chinese,4,255,205.4,3462,4748,3615,3406,1763,5544
157,The Legend of Sun Knight,chinese,4.7,570,171.7,1701,1168,2784,7221,521,12389
159,Female Warrior,chinese,4.5,120,15.2,5316,2000,3964,1670,3733,12390
161,"Illusions, Lies, Truth",chinese,3.9,55,37.3,5625,3666,3964,999,5221,9051
164,Romance RPG,chinese,3.7,63,140.5,6630,2000,2000,952,5373,5551
165,Dominion’s End,chinese,4.6,671,35.1,826,2622,3762,8815,320,2352
167,Kill No More VS ½ Prince,chinese,2.8,13,19.8,11219,2000,2000,237,9761,12384
169,Monogatari no Naka no Hito,japanese,3.9,131,154.1,3635,2000,2000,3825,1515,858
171,Young God Divine Armaments,japanese,3.5,192,15.7,1156,3415,4130,5460,903,5675
173,Nidome no Jinsei wo Isekai de,japanese,3.8,409,7.9,324,2990,1850,11427,153,1584
175,Black Summoner,japanese,3.6,147,18.7,778,1408,1562,7183,530,2973
176,"Gomen ne, Onii-sama",japanese,4.3,248,60.5,1584,2000,4130,5358,928,4033
177,Zhan Long,chinese,3,828,1.1,300,733,210,8133,380,330
179,Chaotic Sword God,chinese,3.5,1229,0.9,26,273,158,11908,130,203
180,Demon’s Diary,chinese,4.2,679,1,363,600,575,8623,338,633
181,Renegade Immortal,chinese,4.1,1093,301.8,41,6087,4355,11878,133,418
183,The Alchemist God,chinese,3.8,236,65.2,812,2000,2000,4731,1119,5424
186,Ark,korean,3.8,400,0.9,1774,3563,5639,5320,938,12384
189,Meow Meow Meow,chinese,4.4,348,0.7,1537,1095,3615,6535,646,1842
195,The Desolate Era,chinese,4.2,1973,168.9,5,1991,1523,18383,29,67
242,"Hachinan tte, Sore wa Nai Deshou! (WN)",japanese,3.4,535,36.8,256,4250,3615,11795,136,4849
244,Death Notice,chinese,4.1,153,82.7,2496,3208,6928,3115,1996,5675
246,Tensei Shitara Slime Datta Ken (WN),japanese,4.2,1424,52.1,106,1820,798,25632,5,244
249,Tate no Yuusha no Nariagari (WN),japanese,4,630,155.1,1831,3579,5067,9081,296,12385
259,So What If It’s an RPG World?,chinese,3.7,458,31.2,868,4751,6928,7836,420,4974
261,Astarte’s Knight,japanese,4.2,141,185.9,3921,2000,2000,2981,2112,2352
262,Garudeina Oukoku Koukoku Ki,japanese,3.9,275,57.4,933,2000,3964,7241,515,2418
263,Kansutoppu!,japanese,3.6,163,6.7,1986,4799,4040,3830,1507,8569
264,Harassing Thief Girl,japanese,3.3,158,1.9,1226,6194,5639,3288,1856,2014
267,The Simple Life of Killing Demons,chinese,3.7,118,3.2,2734,2387,3021,2080,3051,5357
271,Saenai Heroine no Sodatekata,japanese,4,36,153.9,9286,2000,2000,858,5682,7850
274,Takarakuji de 40-oku Atattandakedo Isekai ni Ijuu Suru,japanese,3.7,307,37.1,895,3159,2326,8207,373,3187
277,Oukoku e Tsuzuku Michi,japanese,4.1,879,5,98,1078,404,16428,44,341
278,There is More to my Childhood Friend,japanese,4.2,225,136.1,2528,2457,2818,5064,1013,3775
279,Welcome to the Man-Eating Dungeon,japanese,3,243,1.4,983,4754,4355,6859,580,2048
281,The Man Picked up by the Gods,japanese,3.7,604,114.7,461,1545,1660,12165,124,108
283,Emperor of the Galaxy,japanese,3.5,6,2418,11647,2000,2000,74,11642,12388
284,Death March kara Hajimaru Isekai Kyusoukyoku (WN),japanese,4,2213,13.8,35,126,101,24706,7,170
287,Juvenile Medical God,chinese,4,207,108.5,2948,2000,2000,2614,2437,1728
288,Shinka no Mi,japanese,3.8,648,15.5,199,324,1341,12876,105,683
290,In a Different World with a Smartphone,japanese,3.7,731,23.7,120,1453,904,13145,98,709
292,S*ave Harem in the Labyrinth of the Other World (WN),japanese,3.3,717,140.1,608,1643,3230,11845,134,569
294,Din no Monshou (WN),japanese,4.1,172,48.4,2461,2000,3964,4521,1196,6752
299,I Came Back but the World is Still a Fantasy!?,japanese,3.9,315,4.1,314,202,228,6995,558,222
338,Wipe Clean After Eating,chinese,4.1,152,15.5,2793,2000,2000,2344,2718,12384
340,Hua Xu Yin,chinese,4.1,54,189.9,6524,2600,2000,1028,5144,8724
342,Best to Have Met You,chinese,4.2,191,153.7,2038,2458,1795,3687,1596,1374
344,Blazing Sunlight,chinese,4.3,145,18.9,2796,4739,2260,2457,2581,4844
346,"One Life, One Incarnation – Beautiful Bones",chinese,4.5,262,157,2167,3406,1593,3857,1493,12384
349,Goblin Kingdom,japanese,3.8,506,5.3,294,1198,717,10859,177,1428
350,World Customize Creator,japanese,3.5,205,141.3,2478,6087,5639,4790,1101,953
354,Meikyuu Toshi no Antique Shop,japanese,4.2,15,161.1,10015,2000,2000,510,7421,12393
362,Nightfall,chinese,4,310,0.5,808,2000,6928,5198,972,1295
364,Ze Tian Ji,chinese,4,1253,268.8,91,6142,3615,11269,161,430
367,Child of Light,chinese,3,543,1.5,1639,4914,2000,5322,937,6853
370,Terror Infinity,chinese,4.1,597,1.3,373,2000,1593,6989,560,1393
373,Kuro no Maou,japanese,3.6,643,7.5,307,779,1088,11573,145,1987
376,Douluo Dalu,chinese,4.3,1088,86.3,315,2641,1152,12794,108,2125
379,Marginal Operation,japanese,4.5,86,162,5653,2000,2000,1671,3732,6336
382,Descent of the Phoenix – 13 Years Old Princess Consort,chinese,3.6,378,56.9,975,2000,6928,5889,790,7980
384,VRMMO: The Unrivaled,chinese,3.2,149,0.5,719,568,930,2726,2336,575
386,Long Live Summons!,chinese,3.8,1532,4.9,53,1045,698,15392,55,1084
392,The Legendary Moonlight Sculptor,korean,4.3,1670,9.5,97,600,790,21408,15,511
394,Maken no Daydreamer (WN),japanese,3.9,248,144.3,2174,2000,5639,6763,598,3375
396,Law of the Devil,chinese,3.8,507,52.7,520,2000,2000,6453,655,2026
399,A Martial Odyssey,chinese,3,197,85.7,3907,2000,2000,2112,3009,5062
