id,tags
1,abandoned children
2,ability steal
3,absent parents
4,abusive characters
5,academy
6,accelerated growth
7,acting
8,adapted from manga
9,adapted from manhua
10,adapted to anime
11,adapted to drama
12,adapted to drama cd
13,adapted to game
14,adapted to manga
15,adapted to manhua
16,adapted to manhwa
17,adapted to movie
18,adapted to visual novel
19,adopted children
20,adopted protagonist
21,adultery
22,adventurers
23,affair
24,age progression
25,age regression
26,aggressive characters
27,alchemy
28,aliens
29,all-girls school
30,alternate world
31,amnesia
32,amusement park
33,an*l
34,ancient china
35,ancient times
36,androgynous characters
37,androids
38,angels
39,animal characteristics
40,animal rearing
41,anti-magic
42,anti-social protagonist
43,antihero protagonist
44,antique shop
45,apartment life
46,apathetic protagonist
47,apocalypse
48,appearance changes
49,appearance different from actual age
50,archery
51,aristocracy
52,arms dealers
53,army
54,army building
55,arranged marriage
56,arrogant characters
57,artifact crafting
58,artifacts
59,artificial intelligence
60,artists
61,assassins
62,astrologers
63,autism
64,automatons
65,average-looking protagonist
66,award-winning work
67,awkward protagonist
68,bands
69,based on a movie
70,based on a song
71,based on a tv show
72,based on a video game
73,based on a visual novel
74,based on an anime
75,battle academy
76,battle competition
77,bdsm
78,beast companions
79,beastkin
80,beasts
81,beautiful female lead
82,bestiality
83,betrayal
84,bickering couple
85,biochip
86,bisexual protagonist
87,black belly
88,blackmail
89,blacksmith
90,blind dates
91,blind protagonist
92,blood manipulation
93,bloodlines
94,body swap
95,body tempering
96,body-double
97,bodyguards
98,books
99,bookworm
100,boss-subordinate relationship
101,brainwashing
102,breast fetish
103,broken engagement
104,brother complex
105,brotherhood
106,buddhism
107,bullying
108,business management
109,businessmen
110,butlers
111,c*nnilingus
112,calm protagonist
113,cannibalism
114,card games
115,carefree protagonist
116,caring protagonist
117,cautious protagonist
118,celebrities
119,character growth
120,charismatic protagonist
121,charming protagonist
122,chat rooms
123,cheats
124,chefs
125,child abuse
126,child protagonist
127,childcare
128,childhood friends
129,childhood love
130,childhood promise
131,childish protagonist
132,chuunibyou
133,clan building
134,classic
135,clever protagonist
136,clingy lover
137,clones
138,clubs
139,clumsy love interests
140,co-workers
141,cohabitation
142,cold love interests
143,cold protagonist
144,collection of short stories
145,college/university
146,coma
147,comedic undertone
148,coming of age
149,complex family relationships
150,conditional power
151,confident protagonist
152,confinement
153,conflicting loyalties
154,contracts
155,cooking
156,corruption
157,cosmic wars
158,cosplay
159,couple growth
160,court official
161,cousins
162,cowardly protagonist
163,crafting
164,crime
165,criminals
166,cross-dressing
167,crossover
168,cruel characters
169,cryostasis
170,cultivation
171,cunning protagonist
172,curious protagonist
173,curses
174,cute children
175,cute protagonist
176,cute story
177,dancers
178,dao companion
179,dao comprehension
180,daoism
181,dark
182,dead protagonist
183,death
184,death of loved ones
185,debts
186,delinquents
187,delusions
188,demi-humans
189,demon lord
190,demonic cultivation technique
191,demons
192,dense protagonist
193,depictions of cruelty
194,depression
195,destiny
196,detectives
197,determined protagonist
198,devoted love interests
199,different social status
200,disabilities
201,discrimination
202,disfigurement
203,dishonest protagonist
204,distrustful protagonist
205,divination
206,divine protection
207,divorce
208,doctors
209,dolls/puppets
210,domestic affairs
211,doting love interests
212,doting older siblings
213,doting parents
214,dragon riders
215,dragon slayers
216,dragons
217,dreams
218,drugs
219,druids
220,dungeon master
221,dungeons
222,dwarfs
223,dystopia
224,e-sports
225,early romance
226,earth invasion
227,easy going life
228,economics
229,editors
230,eidetic memory
231,elderly protagonist
232,elemental magic
233,elves
234,emotionally weak protagonist
235,empires
236,enemies become allies
237,enemies become lovers
238,engagement
239,engineer
240,enlightenment
241,episodic
242,eunuch
243,european ambience
244,evil gods
245,evil organizations
246,evil protagonist
247,evil religions
248,evolution
249,exhibitionism
250,exorcism
251,eye powers
252,f*llatio
253,fairies
254,fallen angels
255,fallen nobility
256,familial love
257,familiars
258,family
259,family business
260,family conflict
261,famous parents
262,famous protagonist
263,fanaticism
264,fanfiction
265,fantasy creatures
266,fantasy world
267,farming
268,fast cultivation
269,fast learner
270,fat protagonist
271,fat to fit
272,fated lovers
273,fearless protagonist
274,female master
275,female protagonist
276,female to male
277,feng shui
278,firearms
279,first love
280,first-time interc**rse
281,flashbacks
282,fleet battles
283,folklore
284,forced into a relationship
285,forced living arrangements
286,forced marriage
287,forgetful protagonist
288,former hero
289,fox spirits
290,friends become enemies
291,friendship
292,fujoshi
293,futanari
294,futuristic setting
295,galge
296,gambling
297,game elements
298,game ranking system
299,gamers
300,gangs
301,gate to another world
302,genderless protagonist
303,generals
304,genetic modifications
305,genies
306,genius protagonist
307,ghosts
308,gladiators
309,glasses-wearing love interests
310,glasses-wearing protagonist
311,goblins
312,god protagonist
313,god-human relationship
314,goddesses
315,godly powers
316,gods
317,golems
318,gore
319,grave keepers
320,grinding
321,guardian relationship
322,guilds
323,gunfighters
324,h*ndjob
325,hackers
326,half-human protagonist
327,handsome male lead
328,hard-working protagonist
329,harem-seeking protagonist
330,harsh training
331,hated protagonist
332,healers
333,heartwarming
334,heaven
335,heavenly tribulation
336,hell
337,helpful protagonist
338,herbalist
339,heroes
340,heterochromia
341,hidden abilities
342,hiding true abilities
343,hiding true identity
344,hikikomori
345,homunculus
346,honest protagonist
347,hospital
348,hot-blooded protagonist
349,human experimentation
350,human weapon
351,human-nonhuman relationship
352,humanoid protagonist
353,hunters
354,hypnotism
355,identity crisis
356,imaginary friend
357,immortals
358,imperial harem
359,incest
360,incubus
361,indecisive protagonist
362,industrialization
363,inferiority complex
364,inheritance
365,inscriptions
366,insects
367,interconnected storylines
368,interdimensional travel
369,introverted protagonist
370,investigations
371,invisibility
372,jack of all trades
373,jealousy
374,jiangshi
375,jobless class
376,jsdf
377,kidnappings
378,kind love interests
379,kingdom building
380,kingdoms
381,knights
382,kuudere
383,lack of common sense
384,language barrier
385,late romance
386,lawyers
387,lazy protagonist
388,leadership
389,legends
390,level system
391,library
